id,preaward17,postaward17,dept17,inst17,preaward18,postaward18,dept18,inst18,chair,rasunit,awardnum,awardtotal,award,proposalnum,proposaltotal,proposal,doctortype,age,female,ethnicgrp,white,asian,yos,nMtg,dMtg,tenuretrack
18,1,1,1,1,1,2,3,3,0,1,2,0.09976,1,1,0.018585,1,1,46.9,1,0,1,0,8.7,0,0,0
19,3,2,1,2,2,2,2,2,0,4,2,0.014363,1,2,0.310638,1,2,41.5,0,0,1,0,11,0,0,1
20,2,2,3,3,2,3,3,2,0,5,3,1.136786,1,2,2.608813,1,1,59.6,1,0,1,0,14.9,1,1,1
21,2,2,1,1,2,1,1,1,0,6,0,0,0,2,0.02,1,2,38.6,0,0,1,0,3,0,0,0
22,2,2,2,2,2,3,2,2,0,4,2,0.420511,1,1,0.300511,1,1,54.7,1,0,1,0,20.7,0,0,1
23,2,2,1,2,1,1,1,1,0,9,9,4.472898,1,16,9.88537,1,3,54.7,0,0,1,0,12.7,0,0,1
24,3,1,3,1,2,2,3,2,0,4,4,0.364522,1,7,0.932647,1,2,70,0,0,1,0,21.5,2,1,0
25,2,2,2,2,3,1,3,1,0,8,2,0.473217,1,5,0.620884,1,1,67.5,1,0,1,0,40.4,0,0,1
26,2,2,2,2,1,1,2,1,0,1,3,0.092548,1,1,0.081432,1,2,64.2,0,0,1,0,29.3,0,0,0
27,3,3,3,3,1,1,1,1,0,3,1,0.225,1,1,0.216794,1,1,47.6,0,0,1,0,18.9,0,0,0
28,1,1,1,1,1,2,2,1,1,1,1,0.001796,1,0,0,0,2,66.5,0,0,1,0,35,0,0,0
29,2,1,2,1,3,3,3,3,0,2,2,0.696004,1,2,0.696002,1,1,59.4,1,0,1,0,23.5,1,1,0
30,2,2,2,1,1,1,2,2,0,3,1,0.034,1,0,0,0,0,60.1,1,0,1,0,38,0,0,0
31,2,1,2,1,1,1,2,1,0,4,1,0.28,1,1,0.14,1,0,64.7,0,0,1,0,35.5,0,0,1
32,1,1,2,2,2,2,3,2,0,9,0,0,0,1,0.023147,1,1,73.3,0,0,1,0,21.6,0,0,0
33,2,3,2,3,3,1,2,1,0,2,3,0.550878,1,5,1.720419,1,1,40.9,0,0,1,0,11.2,0,0,1
34,2,2,2,2,1,2,1,2,1,8,2,0.174527,1,2,0.144121,1,1,59.7,1,0,1,0,24.5,0,0,1
35,2,2,1,2,1,1,2,1,0,8,4,0.635384,1,6,0.804458,1,1,60.9,0,0,1,0,18.9,0,0,1
